date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:03:26	5255/5255	---M--	200	added ('OK')	image/gif	etag:%22b4151b260c2d81:0%22	https://www.banesconline.com/mantis/Website/CAU/Imagenes/candado_seguridad.gif	C:/proyectos/banesco_scrap/banesco/www.banesconline.com/mantis/Website/CAU/Imagenes/candado_seguridad.gif	(from https://www.banesconline.com/mantis/Website/CAU/Ayudas/sitio_seguro_banesconline.htm)
22:03:27	15981/15981	---M-Z	200	added ('OK')	text/css	etag:%220d7e973a757d91:0%22	https://www.banesconline.com/mantis/Website/CAU/Includes/estilos.css	C:/proyectos/banesco_scrap/banesco/www.banesconline.com/mantis/Website/CAU/Includes/estilos.css	(from https://www.banesconline.com/mantis/Website/CAU/inicio/LoginDNA.aspx?svc=mantis)
22:03:27	10121/10121	---M-Z	200	added ('OK')	application/javascript	etag:%2202ad0e5e729cb1:0%22	https://www.banesconline.com/mantis/Website/CAU/Includes/scripts.js	C:/proyectos/banesco_scrap/banesco/www.banesconline.com/mantis/Website/CAU/Includes/scripts.js	(from https://www.banesconline.com/mantis/Website/CAU/inicio/LoginDNA.aspx?svc=mantis)
22:03:27	3122/3122	---M-Z	200	added ('OK')	application/javascript	etag:%220fa379151cb1:0%22	https://www.banesconline.com/mantis/Website/CAU/Includes/servicios_electronicos.js	C:/proyectos/banesco_scrap/banesco/www.banesconline.com/mantis/Website/CAU/Includes/servicios_electronicos.js	(from https://www.banesconline.com/mantis/Website/CAU/inicio/LoginDNA.aspx?svc=mantis)
22:03:28	626/626	---M--	200	added ('OK')	application/javascript	etag:%22dd419a1b1eefd01:0%22	https://www.banesconline.com/mantis/Website/CAU/Includes/TracePrint.js	C:/proyectos/banesco_scrap/banesco/www.banesconline.com/mantis/Website/CAU/Includes/TracePrint.js	(from https://www.banesconline.com/mantis/Website/CAU/inicio/LoginDNA.aspx?svc=mantis)
22:03:28	35156/35156	---M-Z	200	added ('OK')	text/css	etag:%2209a3818ba6daf1:0%22	https://www.banesconline.com/mantis/Website/CAU/Includes/sweet/sweetalert2.css	C:/proyectos/banesco_scrap/banesco/www.banesconline.com/mantis/Website/CAU/Includes/sweet/sweetalert2.css	(from https://www.banesconline.com/mantis/Website/CAU/inicio/LoginDNA.aspx?svc=mantis)
22:03:28	97168/97168	---M-Z	200	added ('OK')	application/javascript	etag:%2201b495594acd61:0%22	https://www.banesconline.com/mantis/Website/shared/jquery-1.12.4.min.js	C:/proyectos/banesco_scrap/banesco/www.banesconline.com/mantis/Website/shared/jquery-1.12.4.min.js	(from https://www.banesconline.com/mantis/Website/CAU/inicio/LoginDNA.aspx?svc=mantis)
22:03:29	80268/80268	---M-Z	200	added ('OK')	application/javascript	etag:%2209a3818ba6daf1:0%22	https://www.banesconline.com/mantis/Website/CAU/Includes/sweet/sweetalert2.js	C:/proyectos/banesco_scrap/banesco/www.banesconline.com/mantis/Website/CAU/Includes/sweet/sweetalert2.js	(from https://www.banesconline.com/mantis/Website/CAU/inicio/LoginDNA.aspx?svc=mantis)
22:03:29	19147/19147	---M-Z	200	added ('OK')	text/css	etag:%220952adee39d21:0%22	https://www.banesconline.com/mantis/Website/CAU/Includes/style01mantis.css	C:/proyectos/banesco_scrap/banesco/www.banesconline.com/mantis/Website/CAU/Includes/style01mantis.css	(from https://www.banesconline.com/mantis/Website/CAU/inicio/LoginDNA.aspx?svc=mantis)
22:03:29	1383/1383	---M--	200	added ('OK')	text/css	etag:%22b84055982652d21:0%22	https://www.banesconline.com/mantis/Website/CAU/Includes/style_menu01mantis.css	C:/proyectos/banesco_scrap/banesco/www.banesconline.com/mantis/Website/CAU/Includes/style_menu01mantis.css	(from https://www.banesconline.com/mantis/Website/CAU/inicio/LoginDNA.aspx?svc=mantis)
22:03:30	1360/1360	---M--	200	added ('OK')	text/html	date:Sun,%2021%20Jan%202024%2002:03:28%20GMT	https://www.banesconline.com/mantis/Website/CAU/Afiliacion/Contrato.aspx?svc=mantis	C:/proyectos/banesco_scrap/banesco/www.banesconline.com/mantis/Website/CAU/Afiliacion/Contratobe24.html	(from https://www.banesconline.com/mantis/Website/CAU/inicio/LoginDNA.aspx?svc=mantis)
22:03:30	1129/1129	---M--	200	added ('OK')	text/html	etag:%2287b589b9557bd31:0%22	https://www.banesconline.com/mantis/Website/CAU/Ayudas/usuario_banesconline.htm	C:/proyectos/banesco_scrap/banesco/www.banesconline.com/mantis/Website/CAU/Ayudas/usuario_banesconline.html	(from https://www.banesconline.com/mantis/Website/CAU/inicio/LoginDNA.aspx?svc=mantis)
22:03:31	9790/9790	---M--	200	added ('OK')	text/html	date:Sun,%2021%20Jan%202024%2002:03:30%20GMT	https://www.banesconline.com/mantis/Website/CAU/OlvidoUsrCla/AU_SelOlv.aspx?svc=mantis	C:/proyectos/banesco_scrap/banesco/www.banesconline.com/mantis/Website/CAU/OlvidoUsrCla/AU_SelOlvbe24.html	(from https://www.banesconline.com/mantis/Website/CAU/inicio/LoginDNA.aspx?svc=mantis)
22:03:31	70218/70218	---M--	200	added ('OK')	image/png	etag:%2276637adf7ab8cc2140f6282bfd8daebb%22	https://banesco-prod-2019.s3.amazonaws.com/wp-content/uploads/banner-bol.png	C:/proyectos/banesco_scrap/banesco/banesco-prod-2019.s3.amazonaws.com/wp-content/uploads/banner-bol.png	(from https://www.banesconline.com/mantis/Website/CAU/inicio/LoginDNA.aspx?svc=mantis)
22:03:32	28031/28031	---M--	200	added ('OK')	image/png	etag:%2234f367ff2372d51:0%22	https://www.banesconline.com/mantis/Website/Images/logo.png	C:/proyectos/banesco_scrap/banesco/www.banesconline.com/mantis/Website/Images/logo.png	(from https://www.banesconline.com/mantis/Website/CAU/inicio/LoginDNA.aspx?svc=mantis)
22:03:32	19122/19122	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%220a7b38b3417d11:0%22	https://www.banesconline.com/Mantis/WebSite/Images/Banesco-iconos%20latin/fonts/banesco-iconos.eot	C:/proyectos/banesco_scrap/banesco/www.banesconline.com/Mantis/WebSite/Images/Banesco-iconos%20latin/fonts/banesco-iconos-2.eot	(from https://www.banesconline.com/Mantis/WebSite/Images/Banesco-iconos%20latin/StylesheetIcon.css)
